BASE_DATE,ADM_DR_CD,ADM_DR_NM,area,cctv_area,cctv_rate
"20210630","1117051",신도림동,1391772.837,358937.493,0.258
"20210630","1117052",구로1동,1008158.187,240120.625,0.238
"20210630","1117054",구로3동,1039355.177,458656.895,0.441
"20210630","1117055",구로4동,524123.600,339103.432,0.647
"20210630","1117056",구로5동,1011733.618,514978.095,0.509
"20210630","1117061",고척1동,1150403.130,412520.828,0.359
"20210630","1117062",고척2동,1024829.744,555572.674,0.542
"20210630","1117064",개봉2동,781957.127,357659.536,0.457
"20210630","1117065",개봉3동,827818.895,452436.130,0.547
"20210630","1117067",오류1동,726889.728,341436.473,0.470
"20210630","1117069",수궁동,2659440.627,526696.658,0.198
"20210630","1117070",가리봉동,410698.972,370019.045,0.901
"20210630","1117071",구로2동,1702108.741,764201.444,0.449
"20210630","1117072",개봉1동,1319364.586,526272.083,0.399
"20210630","1117073",오류2동,3058811.872,616879.380,0.202
"20210630","1117074",항동,1445902.459,73828.987,0.051
